title,composer,price,publication_type,first_part,second_part,third_part,fourth_part,fifth_part,tempo,arrangement_difficulty,solo_difficulty,post_content,leader,album_name,label_info,personnel,date_recorded,composer_biography,product_url
La Mesha,"Dorham, Kenny",40,Big Band,2 A Sax|T Sax/Fl|T Sax|B Sax,5 Trumpets/Flugelhorns,3 Trombones,,,Slow ballad,medium-easy,medium,"Trumpeter Dean Pratt, a veteran of the Woody Herman and Buddy Rich big bands, included four SFM titles on his debut album as a leader. In the tradition of his favorite Count Basie and Harry James bands, Pratt presents arrangements by hard-swinging arrangers Ernie Wilkins, Chico O'Farrill, Melba Liston and John Oddo.
BIG BAND INSTRUMENTATION
Alto Sax 1
Tenor Sax 1 (opt. Alto Sax 2)
Tenor Sax 2 (Flute)
Tenor Sax 3
Baritone Sax
Trumpet 1 (Flugelhorn)
Trumpet 2 (Flugelhorn)
Trumpet 3 (Flugelhorn)
Trumpet 4 (Flugelhorn)
Trumpet 5 (Flugelhorn)
Trombone 1
Trombone 2
Trombone 3
Guitar
Piano
Bass
Drums
FULL SCORE
John Oddo transforms K.D.'s ballad into a big band classic. First tenor sax doubles on flute, trumpet section doubles on flugelhorn. Trumpet/flugelhorn solo.
OTHER RECORDINGS
Joe Henderson/Page One (Blue Note 84140)",PRATT BROTHERS BIG BAND,GROOVY ENCOUNTERS,Amosaya: AM-2532,"ALAN GAUVIN, PETE YELLIN, RICH PERRY, WILLIE WILLIAMS, DAVE SCHUMACHER (sx); DEAN PRATT, JOE MOSELLO, STU SATALOFF, ROSS KONIKOFF, DON SICKLER (tpt); SCOTT WHITFIELD, BENNY POWELL, KENNY RUPP (trb); RONNIE MATHEWS (pno), MIKE HALL (bs), MIKE PRATT (dr)",Recorded in March 1995,"KENNY DORHAM (1924-1972). A founding member of The Jazz Messengers, along with Art Blakey, Horace Silver and Hank Mobley, Kenny replaced Clifford Brown in Max Roach's Quintet in 1956. Prior to that, he played with Dizzy Gillespie and Billy Eckstine and was part of Charlie Parker's group in 1948-1949. In the 1950s and '60s he made nearly 2 dozen records as a leader, including such Blue Note classics as ""Whistle Stop,"" ""Una Mas,"" and ""Trompeta Toccata"" (each with compositions of the same name), with sidemen including Joe Henderson, Tommy Flanagan, Paul Chambers, Sonny Rollins, Herbie Hancock, Hank Jones and Art Taylor. He later studied music at the graduate level at NYU and wrote film scores. His compositions, including Fair Weather, Lotus Blossom, Prince Albert and Blue Bossa, have been recorded by Clark Terry, Chet Baker, Freddie Hubbard, Art Farmer, Roy Hargrove, Nicholas Payton, Don Friedman, J.J. Johnson, Jimmy Heath, McCoy Tyner, Lou Donaldson, George Benson and by most of his former sidemen, among others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=886
Let's Get Down,"Mathews, Ronnie",40,Big Band,5 Saxes (AATTB),4 Trumpets,3 Trombones,,,Medium up swing,medium-advanced,medium,"Trumpeter Dean Pratt, a veteran of the Woody Herman and Buddy Rich big bands, included four SFM titles on his debut album as a leader. In the tradition of his favorite Count Basie and Harry James bands, Pratt presents arrangements by hard-swinging arrangers Ernie Wilkins, Chico O'Farrill, Melba Liston and John Oddo.
BIG BAND INSTRUMENTATION
Alto Sax 1
Alto Sax 2
Tenor Sax 1
Tenor Sax 2
Baritone Sax
Trumpet 1
Trumpet 2
Trumpet 3
Trumpet 4
Trombone 1
Trombone 2
Trombone 3
Guitar (optional)
Piano
Bass
Drums
FULL SCORE
Written for solo trumpet and big band, this exciting chart on a bebop line by Ronnie Mathews is reminiscent of the great Quincy Jones ensemble sound which Melba Liston helped to define. Tenor sax and piano have solos also.
OTHER RECORDINGS
Dexter Gordon/Live At The Village Vanguard (Columbia 46824)
The PRATT BROTHERS CD is available by mail ($17) from Amosaya Records, PO Box 772 Times Square Station, NY, NY 10108",PRATT BROTHERS BIG BAND,GROOVY ENCOUNTERS,Amosaya: AM-2532,"ALAN GAUVIN, PETE YELLIN, RICH PERRY, WILLIE WILLIAMS, DAVE SCHUMACHER (sx), DEAN PRATT, JOE MOSELLO, STU SATALOFF, ROSS KONIKOFF, DON SICKLER (tpt), SCOTT WHITFIELD, BENNY POWELL, KEN RUPP (trb),RONNIE MATHEWS (pno), MIKE HALL (bs), MIKE PRATT (dr)",Recorded in March 1995,"RONNIE MATHEWS (b. 1935). An alumnus of Art Blakey's Jazz Messengers, Ronnie is currently the pianist for the T.S. Monk Sextet, which has recorded his compositions. He studied piano, theory and composition at the Manhattan School of Music. In the '60s he played and recorded with Kenny Dorham and Roy Haynes and had lengthy associations with Max Roach and Freddie Hubbard. In the '70s he worked with Louis Hayes, Clark Terry, Dexter Gordon and Johnny Griffin. In the '80s he toured with Dizzy Gillespie's U.N. band. He also has made several albums as a leader.",http://www.musicdispatch.com/product/viewproduct.do?itemid=888
5 For Six,"Keezer, Geoff",20,Quintet/Sextet,Trumpet|Alto Sax,Alto Sax|Tenor Sax,Trombone|Tenor Sax|Baritone Sax,,,Slow /medium,medium,medium-advanced,"KENNY WHEELER's recordings with pianist Keith Jarrett and guitarist John Abercrombie, as well as his own recordings, have earned him a reputation as one of the best of the modern (including the avant-garde/free jazz idiom) trumpet players. This beautiful harmonically-complex composition, recorded with contemporary bass giant Dave Holland, doesn't have a harmonic comping instrument. The solo chord progression, though short, is rewarding.
QUINTET/SEXTET INSTRUMENTATION
3-HORN FRONT LINE, BASS, DRUMS
1st part: Trumpet, Alto Sax
2nd part: Alto Sax, Tenor Sax
3rd part: Trombone, Tenor Sax, Baritone Sax
Rhythm Section: Bass, Drums
FULL SCORE
The close harmonies and intricate individual lines within the three-horn front line are great for working on intonation and blend.
SOLOS: By steering clear of II-Vs and going to less common key centers, these changes are different but not too difficult. They're great for encouraging creativity in developing and advanced soloists. Also includes a free improvisation section, if desired.",GEOFF KEEZER,WAITING IN THE WINGS,Sunnyside: SSC 1035D,"BILL MOBLEY (trumpet), BILLY PIERCE (tenor sax), STEVE NELSON (vibes), GEOFF KEEZER (piano), RUFUS REID (bass), TONY REEDUS (drums)","Recorded September 16, 1988","KENNY WHEELER (b. 1930) Canadian-born trumpeter and flugelhornist Kenny Wheeler studied with Richard Rodney Bennett and Bill Russo and has recorded with some of Europe's finest Jazzmen. Kenny, who has long lived in England, is proficient in both bop and freer forms of Jazz, has worked with the Spontaneous Music Ensemble, Tony Oxley, Anthony Braxton, the Globe Unity Orchestra, the trio Azimuth and his own small group and big band. He toured and recorded over several years with bass virtuoso Dave Holland and has recorded several albums as a leader on the ECM label.",http://www.musicdispatch.com/product/viewproduct.do?itemid=500
And Then Again,"Watson, Pamela",20,Quintet,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,,,,Medium swing,medium,medium,"QUINTET INSTRUMENTATION
Front Line: B-flat, E-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This chart combines a very playable melody line with challenging rhythm parts. It goes briefly into a 12/8 Latin and then into a shuffle before returning to its original swing feel. This is a great chart for teaching a rhythm section how to generate energy behind a simple melody and how to come in and out of the foreground in response to the melody line.
SOLOS: The solo changes are easy to play and hear, but they're always going somewhere interesting while avoiding II-Vs.
OTHER RECORDINGS
Bobby Watson/Jewel (Evidence 22043)",BOBBY WATSON & HORIZON,NO QUESTION ABOUT IT,Blue Note:  CDP 7 90262,"BOBBY WATSON (alto sax), ROY HARGROVE (trumpet), FRANK LACY (trombone), JOHN HICKS (piano), CURTIS LUNDY (bass), VICTOR LEWIS (drums)","Recorded May 1, 1988","GEOFF KEEZER (b. 1970). Geoff studied piano at the University of Wisconsin-Eau Claire and later at Berklee on full scholarship. He completed his jazz education as pianist with Art Blakey's Jazz Messengers. Already an in-demand jazz veteran, Geoff recorded his first album as a leader (featuring several of his own compositions) when he was 17. He has recorded several albums as a leader and many more as a sideman with Blakey, Dizzy Gillespie, Art Farmer, Roy Hargrove and his mentor, James Williams, among others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=716
Around Town,"Bert, Eddie",20,Quintet,Trombone (C bass clef)|Trumpet|Alto Sax|C treble clef,Alto Sax|Tenor Sax|Trombone (C bass clef)|C treble clef,,,,Medium up swing,medium-easy,medium-easy,"Trombonist EDDIE BERT was featured in the big bands of Benny Goodman, Charlie Barnet, Woody Herman and Stan Kenton before venturing into the 1950s bebop scene, where he recorded with Coleman Hawkins, Charles Mingus, and his own groups. An excellent soloist and first-call section player, Eddie played in many Broadway and TV orchestras and also played with Thelonious Monk at the legendary Town Hall and Lincoln Center concerts. Recently, Eddie revisited Monk's music, recording and touring with the Monk On Monk tentet.
AROUND TOWN by EDDIE BERT
Medium up swing
QUINTET INSTRUMENTATION
1st part: Trombone, Trumpet, Alto Sax, C treble clef
2nd part: Alto Sax, Tenor Sax, Trombone, C treble clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
""Around Town"" is educational as well as fun to play, moving around from key to key. The 5-measure melody outlines the changes as it establishes each key, makes it the dominant key, then modulates to the next. Form: A A1 A2 A3 B. B uses eight dominant chords to get back to the first key.
SOLOS: same chord progression as the head, but expanded to 8-measure phrases.",EDDIE BERT,KALEIDOSCOPE,Savoy Jazz SJL 1186 (LP),"EDDIE BERT (trombone), VINNIE DEAN (alto sax), DUKE JORDAN (piano), CLYDE LOMBARDI (bass), ART MARDIGAN (drums)","Recorded August 20, 1954","PAMELA BASKIN-WATSON (b. 1953) After studying piano on full scholarship at Kansas City Community College, Pam continued her studies at the U. of Miami in piano, theory and composition. Pam is also an excellent lyricist and vocal arranger. Her gift for composition was first recognized by the Jazz Messenger, Art Blakey, who recorded Pam's Ms. B.C. Her compositions have also been recorded by Bobby Watson, Roy Hargrove, Betty Carter, Victor Lewis, Kevin Mahogany and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=560
Beauteous,"Chambers, Paul",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Baritone Sax|Trombone,,,,Medium swing,medium-easy,medium-easy,"QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Tenor Sax, Baritone Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
A comfortable melody that moves from swing to Latin on the bridge characterizes this composition. The chart smoothly integrates unisons, two-part harmonies, and independent contrapuntal lines in the horns to create a unique setting that will be rewarding to play for musicians of any ability level.
SOLOS: The changes stay mostly in B-flat and are full of II-Vs, making them a great set of easy solo changes.
OTHER RECORDINGS
J.R. Monterose/J.R. Monterose (Blue Note CDP7 29102)",PAUL CHAMBERS,PAUL CHAMBERS QUINTET,Blue Note: CDP7 52441 2,"DONALD BYRD (trumpet), CLIFFORD JORDAN (tenor sax), TOMMY FLANAGAN (piano), PAUL CHAMBERS (bass), ELVIN JONES (drums)","Recorded May 19, 1957","EDDIE BERT (b. 1922) Trombonist Eddie Bert has been performing since the 1940s where he was featured in the big bands of Benny Goodman, Charlie Barnet, Woody Herman and Stan Kenton. A versatile player, Eddie easily made the transition to bebop and recorded with Coleman Hawkins, Charles Mingus and his own groups in the 1950s. An excellent soloist and first-call section player, Eddie played in many Broadway and TV orchestras and also played with Thelonious Monk at the legendary Town Hall and Lincoln Center concerts. Recently, Eddie revisited Monk's music, recording and touring with the ""Monk on Monk"" tentet.",http://www.musicdispatch.com/product/viewproduct.do?itemid=564
Beggars And Swallowtails,"Sandke, Randy",20,Quintet,Trumpet|Alto Sax|C treble clef,Tenor Sax|Alto Sax|Trombone,,,,Uptempo Latin,advanced,advanced,"This recording features an all-star line-up of contemporary jazz artists, with some great challenging material.
QUINTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Tenor Sax, Alto Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
Challenging and a show stopper! A perfect opener or closer. An exciting arrangement that will get the crowd on its feet. It's a great contest chart that will set your quintet apart.
SOLOS: The solo changes are challenging with chords moving by half step and whole step. However, they are melodic and move very logically; a good set of changes to introduce a young improviser to modern harmony or to provide a solid, well constructed set of changes for a more advanced player.",RANDY SANDKE,THE SANDKE BROTHERS: RANDY & JORDAN,Stash ST CD 575,"RANDY SANDKE (trumpet), MICHAEL BRECKER (tenor sax), JIM McNEELY (piano), JOHN GOLDSBY (bass), KENNY WASHINGTON (drums)","Recorded May 31, 1985","PAUL CHAMBERS (1935-1969) Bassist Paul Chambers was a product of the fertile Detroit Jazz scene, which produced such legends as the Jones brothers, Tommy Flanagan, Barry Harris and many others. Paul got his start playing with Paul Quinichette and George Wallington. After moving to New York, he became a member of the J.J. Johnson/Kai Winding quintet. He was perhaps the top bassist in Jazz from the mid '50s to the mid '60s, having spent eight of these prime years with Miles Davis and his driving ""walking"" bass is featured on many classic Davis sessions, mostly as part of the legendary rhythm section of Chambers, Red Garland and Philly Joe Jones. In addition to a few recordings as a leader, Chambers also recorded with John Coltrane (who wrote Mr. P.C. for him), Bud Powell, Cannonball Adderley, Lee Morgan, Sonny Rollins, Wynton Kelly and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=718
Black Scholars,"Williams, James",20,Sextet,Clarinet|B-flat|E-flat|C treble clef|C bass clef,Tenor Sax|E-flat|C treble clef|C bass clef,Guitar|B-flat|E-flat|C bass clef,,,Uptempo swing,medium,medium,"SEXTET INSTRUMENTATION
Front Line: B-flat, E-flat, C treble clef, C bass clef
[Clarinet (1st part), Tenor Sax (2nd part), Guitar (3rd part)]
Rhythm Section: Piano, Bass, Drums, Guitar
Piano voicings by James Williams
Bass Lines
FULL SCORE		 [JRTS]*
This chart is fun to play, with an impressive call and response between the horns and rhythm section that starts on the 2nd part of the form and a transition into a Latin feel for a short time at the end of each chorus. The biggest challenge presented by this uptempo swing arrangement is the section of extended poly-rhythms for the rhythm section which begins and ends the piece. The first horn part was recorded on clarinet and is in unison with the other two instruments in the front line (tenor sax and guitar on the recording) for much of the head.
SOLOS: The solo changes are not easy, but they don't go by too fast. Each chorus ends with a Latin groove under some easy major seventh chords that move in fourths, so no matter what happens, you're assured of a strong ending.
* Jazz Repertory Transcription Series = chord voicings, bass lines and drum fills, melody lines cues in rhythm section parts.",JAMES WILLIAMS,ALTER EGO,Sunnyside: SSC 1007,"BILL EASLEY (alto sax, flute, clarinet), BILLY PIERCE (tenor & soprano sax), KEVIN EUBANKS (guitar), JAMES WILLIAMS (piano), RAY DRUMMOND (bass), TONY REEDUS (drums)","Recorded July 19 & 20, 1984","RANDY SANDKE (b. 1949) Trumpeter Randy Sandke is a gifted composer and arranger who has recorded several albums as a leader. He is also one of the most versatile players around, comfortable in styles reminiscent of Bix and Satchmo through swing, bop and the avant-garde, as reflected in his having played with such diverse musicians as Benny Goodman, Lionel Hampton, Clark Terry, Dizzy Gillespie, Michael Brecker and Mel Torme.",http://www.musicdispatch.com/product/viewproduct.do?itemid=842
Boperation,"Navarro, Fats / McGhee, Howard",20,Sextet,Trumpet|Alto Sax|C treble clef,Trumpet|Alto Sax|C treble clef,Alto Sax|Tenor Sax|C treble clef,,,Medium swing,advanced,medium,"FATS NAVARRO and HOWARD McGHEE, two original bebop trumpet giants, co-composed this piece for a session of bebop all-stars. You can also hear two giants of a later generation, Woody Shaw and Freddie Hubbard, on their own recording of this trumpet players' tour de force. This piece makes a great feature for the front line.
SEXTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Trumpet, Alto Sax, C treble clef
3rd part: Alto Sax, Tenor Sax, C treble clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
This show piece is a great vehicle for introducing a technically-proficient front line to some classic bebop vocabulary. Some of the lines are technically demanding but they lie well on all the horns and the final product is well worth the effort.
SOLOS: These changes are full of II-Vs in cmfortable keys and are a great way for less experienced improvisers to play over classic bebop changes and for more experienced players who want to step beyond just making the changes.
OTHER RECORDINGS
Freddie Hubbard & Woody Shaw/Double Take (Blue Note CDP 7 46294 2)",HOWARD McGHEE & FATS NAVARRO,"THE FABULOUS FATS NAVARRO, Vol.2",Blue Note: CDP 7 81532 2,"HOWARD McGHEE (trumpet; piano), FATS NAVARRO (trumpet), ERNIE HENRY (alto sax), MILT JACKSON (piano & vibes), CURLY RUSSELL (bass), KENNY CLARKE (drums)","Recorded October 11, 1948","JAMES WILLIAMS (b. 1951). After teaching at Berklee for 3 years, James joined Art Blakey's Jazz Messengers in 1977 (in a group that included Wynton Marsalis, Bobby Watson and Billy Pierce), where he played piano on 10 separate recordings. Since 1981, he has recorded more than 20 albums as a leader and another 20 as a sideman, many of which he also produced. He records his compositions in various settings, including vocal arrangements with the Boys Choir of Harlem and his new group, Intensive Care Unit. He has taught at the Hartt conservatory, was an artist-in-residence at Harvard and Dartmouth and continues to conduct clinics across the country and in Europe. James organized a 5-piano tour, ""The Key Players,"" and produces critically acclaimed artist tributes at New York's Merkin Concert Hall. A ""musician's musician,"" James' compositions such as Alter Ego, Fourplay, and Old Times Sake have been recorded by many Jazz greats including Blakey, Gary Burton, Art Farmer, Tommy Flanagan, Roy Hargrove, Clifford Jordan and T.S. Monk.",http://www.musicdispatch.com/product/viewproduct.do?itemid=722
"Chant For Bu, A","Bass, Mickey",20,Quintet/Sextet,Trumpet|Alto Sax|C treble clef,Alto Sax|Tenor Sax|Trombone,Tenor Sax|Baritone Sax|Trombone,,,Medium up swing (6/4),medium,medium-easy,"From a 1970s Jazz Messengers lineup, bassist MICKEY BASS provides an arrangement in 6/4 meter easy enough to be tackled by inexperienced players (and stimulating enough to have been recorded by Art Blakey!).
QUINTET/SEXTET INSTRUMENTATION
1st part: Trumpet, Alto Sax, C treble clef
2nd part: Alto Sax, Tenor Sax, Trombone
3rd part: Tenor Sax, Baritone Sax, Trombone
Rhythm Section: Piano, Bass, Drums, Guitar
Piano Voicings by Cedar Walton
Bass Lines by Mickey Bass
FULL SCORE		 JRTS*
This arrangement places a simple, slow moving melody over an exciting, rhythmically active rhythm section accompaniment. The rhythm section also has the option of switching from a 6/4 to a 12/8 for four bars near the end of the form to add further interest.
SOLOS: The solos are arranged in an 8+6+8 measure format with each chord change getting two full measures. This leaves plenty of time for exploration on each chord and assures that even inexperienced soloists will find something to say over these changes.
*Jazz Repertory Transcription Series = includes chord voicings, bass lines, fills in drum parts, cued melody lines in rhythm section parts.",ART BLAKEY & THE JAZZ MESSENGERS,MISSION ETERNAL,Prestige: PRCD 24159,"WOODY  SHAW (trumpet), CARTER JEFFERSON (tenor sax), CEDAR WALTON (piano), MICKEY BASS (bass), ART BLAKEY (drums), TONY WATERS (conga), MICHAEL HOWELL (guitar)","Recorded March, 1973","HOWARD McGHEE (1918-1987) ""Maggie"" was one of the top bebop trumpeters, along with Dizzy Gillespie and Fats Navarro, from 1945-49. In the early Forties, he played in bands led by Andy Kirk (his sectionmate was Navarro), Charlie Barnet, and Count Basie. During this time, he was also an integral part of the Minton's bebop laboratory. In his prime years, he made several landmark recordings in California with Coleman Hawkins and Charlie Parker. He later recorded with Navarro, including the classic ""Boperation,"" as well as leading dates on Dial and Savoy. Downbeat named him the best trumpeter of 1949. Unfortunately, his fortunes soon faded thereafter, and McGhee was largely off the scene in the Fifties, with only sporadic bursts of activity in the Sixties and Seventies. <br> FATS NAVARRO (1923-1950) One of Jazz's all-time greatest trumpeters, Theodore ""Fats"" Navarro, had a brilliant but all too brief career. Fats' apprenticeship included stints with Andy Kirk (playing alongside Howard McGhee) and Billy Eckstine, where he replaced Dizzy Gillespie. During his brief peak years of 1946-49, he was Gillespie's rival as the premier bebop trumpeter. His style, more lyrical and with a broader tone than Gillespie's, was a major influence on Clifford Brown and, indirectly, such trumpet greats as Lee Morgan, Freddie Hubbard and Woody Shaw. Although he co-led some important sessions with McGhee (including the bop anthem Boperation), he made historic recordings with Tadd Dameron and was a star sideman in groups led by other bebop legends, including Kenny Clarke, Coleman Hawkins, Bud Powell and Charlie Parker before dying of tuberculosis at 26.",http://www.musicdispatch.com/product/viewproduct.do?itemid=816
Cherry Pickens,"Mossman, Michael Philip",20,Sextet,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,B-flat|E-flat|C treble clef|C bass clef,,,Medium swing,medium,medium-advanced,"<B><I>OTB</B></I> (Out Of The Blue) was a young all-star group on the Blue Note label in the 1980s which introduced many of today's leading contemporary jazz figures. MICHAEL PHILIP MOSSMAN, who has since performed with Latin jazz greats Chico O'Farrill (see his big band arrangements) and Mario Bauza, has written for a variety of ensembles and contributed this chart to the OTB book.
SEXTET INSTRUMENTATION
Front Line: B-flat, E-flat, C treble clef, C bass clef
Rhythm Section: Piano, Bass, Drums, Guitar
FULL SCORE
A melody that starts out sounding very bluesy and gradually unfolds into something more complex, along with some marked dynamic contrasts, are the most memorable elements of this arrangement. A player is challenged to navigate these sinuous lines musically and to exploit fully all the great dynamic contrasts. This is a good chart for fostering new heights in musicality that won't require extensive work on the technical aspects. This arrangement also features a shout chorus that sets up a bass (or piano) solo.
SOLOS: The unusual chord progression, which is full of movements by half-step between chords that don't often occur next to one another, will require some practice, but will pay off by opening soloists' ears to some new harmonic relationships.",O.T.B. (OUT OF THE BLUE),INSIDE TRACK,Blue Note: CDP 7 46395 2,"MICHAEL PHILIP MOSSMAN (trumpet), KENNY GARRETT (alto sax), RALPH BOWEN (tenor sax), HARRY PICKENS (piano), BOB HURST (bass), RALPH PETERSON (drums)","Recorded June 19, 1986","MICKEY BASS (b. 1943) Mickey Bass is a bassist, composer and educator. Mickey received his musical training at Howard University and N.Y.U. and is best known for his lengthy associations in the 1960s with Art Blakey and the Jazz Messengers and also Gloria Lynne, for whom he served as music director. He has performed and recorded with a variety of other Jazz stars, including Freddie Hubbard, Carmen McRae and Curtis Fuller.",http://www.musicdispatch.com/product/viewproduct.do?itemid=732
Children,"Walrath, Jack",23,Septet,Trumpet,Alto Sax,Tenor Sax,Trombone|Baritone Sax,,Uptempo Latin,medium-easy,medium,"Since emerging from Charles Mingus' group in the 1970s, trumpeter JACK WALRATH has earned a reputation as an adventuresome composer and arranger.
SEPTET INSTRUMENTATION
1st part: Trumpet
2nd part: Alto Sax
3rd part: Tenor Sax
4th part: Trombone
Optional 4th part: Baritone Sax
Rhythm Section: Piano, Bass, Drums
FULL SCORE
This homogenous setting of a simple melody with simple but surprising harmonies makes for an unusual piece of music that transforms suddenly from a subdued statement of the theme into a high-energy showcase for some wild and uninhibited solos. There are backgrounds behind the first couple of solos and many drastic changes in timbre and orchestration throughout. A creative group looking to develop a musical personality will have a great time with this one.
SOLOS: The solos range from wild high energy solos over some unusual, but easy, changes to a free solo featuring one horn and the drums that eventually works its way into a frenzied group improvisation.",JACK WALRATH,MASTER OF SUSPENSE,Blue Note: CDP 7 46905 2,"JACK WALRATH (trumpet), KENNY GARRETT (alto sax), CARTER JEFFERSON (tenor sax), STEVE TURRE (trombone), JAMES WILLIAMS (piano), ANTHONY COX (bass), RONNIE BURRAGE (drums)","Recorded September 19, 1986","MICHAEL PHILIP MOSSMAN (b. 1959) Trumpeter Michael Mossman first came to prominence in the group ""Out of The Blue"" (OTB) which recorded on Blue Note. Since then, he has recorded albums as a leader, played for several years with Horace Silver and has been a first-call section player and soloist for numerous big bands, including those led by Gerry Mulligan, Dizzy Gillespie, Slide Hampton, Mario Bauza, Chico O'Farrill and others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=590
"Coaster, The","Moncur, Grachan III",20,Sextet,Trombone|Trumpet (Tenor Sax)|Alto Sax (Baritone Sax)|C treble clef,Trumpet|Alto Sax|Tenor Sax,Alto Sax|Tenor Sax|Trombone,,,Uptempo swing/Latin,easy,medium-easy,"GRACHAN MONCUR III's first album as a leader still
gets attention today for its innovative compositions by the leader. The personnel was saxophonist Jackie McLean's working group of the period, plus Blue Note hero Lee Morgan on trumpet. <I>Monk In Wonderland</I> features shifting meters, while <I>The Coaster</I> is a straight-ahead swinger, more recently recorded by Kevin Mahogany with Grachan's lyrics.
SEXTET INSTRUMENTATION
1st part:Trombone,
Trumpet (Tenor Sax), Alto Sax (Baritone Sax), C treble clef
2nd part: Trumpet, Alto Sax,Tenor Sax
3rd part: Alto Sax, Tenor Sax, Trombone
Rhythm Section: Vibes (Piano), Bass, Drums,
Guitar
FULL SCORE
This straight-ahead swinger features some unusual but fairly easy changes. The catchy melody is played by the first part (Moncur's trombone on the recording) while the other two parts provide mostly rhythmic commentary in the background. This arrangement moves back and forth between swing and Latin.
SOLOS: The changes are unique but not difficult. There aren't any II-Vs and each chord gets at least a bar.
OTHER RECORDINGS
Kevin Mahogany/Songs And Moments (Enja 8072)",GRACHAN MONCUR III,EVOLUTION,Blue Note: CDP 7 84153 2,"GRACHAN MONCUR III (trombone), LEE MORGAN (trumpet), JACKIE McLEAN (alto sax), BOBBY HUTCHERSON (vibes), BOB CRANSHAW (bass), TONY WILLIAMS (drums)","Recorded November 21, 1963","JACK WALRATH (b. 1946). Although he has since recorded many albums as a leader, trumpeter Jack Walrath is still best known for his work with Charles Mingus (1974-79) where he contributed orchestrations to the ailing bassist's final recordings and Mingus Dynasty, which kept the flame alive with alumni like Jimmy Knepper and Dannie Richmond.",http://www.musicdispatch.com/product/viewproduct.do?itemid=620
"Curious Child, The","Watson, Robert",20,Sax Quartet,Alto Sax 1,Alto Sax 2,Tenor Sax,Baritone Sax,,Medium up,medium,medium,"SAX QUARTET INSTRUMENTATION
Alto Sax 1
Alto Sax 2
Tenor Sax
Baritone Sax
FULL SCORE
A seamless transition from a medium waltz to an uptempo Latin characterizes this Watson composition. The texture stays constant through most of the arrangement, with the baritone sax playing the bass line, the two altos stating the melody in 2-part harmony, and the tenor playing a counter line. There is an extended alto solo over the bari's bass line which builds gradually, and a tenor/second alto background.",29TH STREET SAXOPHONE QUARTET,POINTILLISTIC GROOVE,Osmosis: 6002,"BOBBY WATSON (alto sax), ED JACKSON (alto sax), RICH ROTHENBERG (tenor sax), JIM HARTOG (baritone sax)","Recorded November 19 & 25, 1983","GRACHAN MONCUR, III (b. 1937), Although trombonist Grachan Moncur, III, has had a long and varied career, he remains best known for his groundbreaking work from the mid 1960s, a blending of hard bop and free Jazz. His two Blue Note albums from the period, ""Evolution"" (with Jackie McLean and Lee Morgan) and ""Some Other Stuff"" are well known. Grachan, who was once Ray Charles' music director, also recorded several albums with McLean as well as with Herbie Hancock, Bobby Hutcherson, Wayne Shorter, Joe Henderson and others. A composer at home in both the straight-ahead bop school (recording with the Benny Golson-Art Farmer Jazztet) and the avant-garde (his own albums on Blue Note), trombonist GRACHAN MONCUR III also recorded with saxophonists Wayne Shorter and Archie Shepp, among others.",http://www.musicdispatch.com/product/viewproduct.do?itemid=634
